{'Subject':'Maths','Topic':'Multiplication'}
{'Question': 'What is 3 x 4', 'Answers': ['5', '10', '12', '8'], 'SelectedAnswer': None, 'CorrectAnswer': 2}
{'Question': 'What is 5 x 2', 'Answers': ['15', '7', '10', '3'], 'SelectedAnswer': None, 'CorrectAnswer': 3}
{'Question': 'What is 7 x 1', 'Answers': ['4', '7', '14', '1'], 'SelectedAnswer': None, 'CorrectAnswer': 1}
{'Question': 'What is 4 x 6', 'Answers': ['18', '22', '24', '12'], 'SelectedAnswer': None, 'CorrectAnswer': 2}
{'Question': 'What is 9 x 3', 'Answers': ['12', '25', '27', '6'], 'SelectedAnswer': None, 'CorrectAnswer': 2}
{'Question': 'What is 2 x 8', 'Answers': ['14', '10', '16', '6'], 'SelectedAnswer': None, 'CorrectAnswer': 3}
{'Question': 'What is 2 x 8', 'Answers': ['14', '10', '16', '6'], 'SelectedAnswer': None, 'CorrectAnswer': 1}
{'Question': 'What is 6 x 3', 'Answers': ['15', '18', '21', '9'], 'SelectedAnswer': None, 'CorrectAnswer': 1}
{'Question': 'What is 8 x 4', 'Answers': ['28', '32', '24', '16'], 'SelectedAnswer': None, 'CorrectAnswer': 1}
{'Question': 'What is 1 x 9', 'Answers': ['0', '4', '9', '7'], 'SelectedAnswer': None, 'CorrectAnswer': 2}
{'Question': 'What is 5 x 7', 'Answers': ['25', '30', '35', '20'], 'SelectedAnswer': None, 'CorrectAnswer': 2}
